id,Series_reference,Period,Data_value,Status,Units,Magnitude,Subject,Periodicity,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
85,PTSA.SA01HB1NM,2018.03,4947,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Number of transfers
660,PTSA.SA01HB1NM,2019.03,4860,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Number of transfers
84,PTSA.SA01HB1NM,2020.03,4950,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Number of transfers
58,PTSA.SA01HB1NM,2021.03,5418,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Number of transfers
209,PTSA.SA01HB1NM,2022.03,5139,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Number of transfers
880,PTSA.SA01HB1NS,2016.09,,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Number of transfers
424,PTSA.SA01HB1NS,2017.09,3723,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Number of transfers
708,PTSA.SA01HB1NS,2018.09,4923,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Number of transfers
999,PTSA.SA01HB1NS,2019.09,4806,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Number of transfers
50,PTSA.SA01HB1NS,2020.09,4671,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Number of transfers
977,PTSA.SA01HB1NS,2021.09,5901,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Number of transfers
395,PTSA.SA01HB1PD,2016.12,,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
489,PTSA.SA01HB1PD,2017.12,86.8,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
903,PTSA.SA01HB1PD,2018.12,88.1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
503,PTSA.SA01HB1PD,2019.12,87.2,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
645,PTSA.SA01HB1PD,2020.12,86.6,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
665,PTSA.SA01HB1PD,2021.12,86.5,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
259,PTSA.SA01HB1PJ,2017.06,,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
318,PTSA.SA01HB1PJ,2018.06,87.6,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
934,PTSA.SA01HB1PJ,2019.06,87.9,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
766,PTSA.SA01HB1PJ,2020.06,86.6,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
525,PTSA.SA01HB1PJ,2021.06,87,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
775,PTSA.SA01HB1PM,2017.03,,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
644,PTSA.SA01HB1PM,2018.03,87.4,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
715,PTSA.SA01HB1PM,2019.03,87.8,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
488,PTSA.SA01HB1PM,2020.03,87.1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
547,PTSA.SA01HB1PM,2021.03,86.6,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
252,PTSA.SA01HB1PM,2022.03,86.9,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
109,PTSA.SA01HB1PS,2016.09,,C,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
336,PTSA.SA01HB1PS,2017.09,86.7,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
346,PTSA.SA01HB1PS,2018.09,87.8,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
551,PTSA.SA01HB1PS,2019.09,87.3,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
942,PTSA.SA01HB1PS,2020.09,86.8,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
749,PTSA.SA01HB1PS,2021.09,86.8,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
770,PTSA.SA01HB2ND,2016.12,,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
213,PTSA.SA01HB2ND,2017.12,264,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
616,PTSA.SA01HB2ND,2018.12,216,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
850,PTSA.SA01HB2ND,2019.12,246,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
333,PTSA.SA01HB2ND,2020.12,252,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
567,PTSA.SA01HB2ND,2021.12,306,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
215,PTSA.SA01HB2NJ,2017.06,,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
313,PTSA.SA01HB2NJ,2018.06,216,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
612,PTSA.SA01HB2NJ,2019.06,231,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
615,PTSA.SA01HB2NJ,2020.06,234,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
161,PTSA.SA01HB2NJ,2021.06,309,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
119,PTSA.SA01HB2NM,2017.03,,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
640,PTSA.SA01HB2NM,2018.03,237,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
102,PTSA.SA01HB2NM,2019.03,216,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
782,PTSA.SA01HB2NM,2020.03,252,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
845,PTSA.SA01HB2NM,2021.03,285,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
310,PTSA.SA01HB2NM,2022.03,285,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
13,PTSA.SA01HB2NS,2016.09,,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
546,PTSA.SA01HB2NS,2017.09,210,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
913,PTSA.SA01HB2NS,2018.09,210,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
537,PTSA.SA01HB2NS,2019.09,240,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
485,PTSA.SA01HB2NS,2020.09,237,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
538,PTSA.SA01HB2NS,2021.09,303,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
113,PTSA.SA01HB2PD,2016.12,,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
933,PTSA.SA01HB2PD,2017.12,4.7,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
378,PTSA.SA01HB2PD,2018.12,3.8,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
100,PTSA.SA01HB2PD,2019.12,4.4,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
655,PTSA.SA01HB2PD,2020.12,4.3,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
101,PTSA.SA01HB2PD,2021.12,4.8,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
32,PTSA.SA01HB2PJ,2017.06,,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
670,PTSA.SA01HB2PJ,2018.06,3.8,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
240,PTSA.SA01HB2PJ,2019.06,4.2,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
27,PTSA.SA01HB2PJ,2020.06,4.5,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
764,PTSA.SA01HB2PJ,2021.06,4.5,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
129,PTSA.SA01HB2PM,2017.03,,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
709,PTSA.SA01HB2PM,2018.03,4.2,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
266,PTSA.SA01HB2PM,2019.03,3.9,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
856,PTSA.SA01HB2PM,2020.03,4.4,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
693,PTSA.SA01HB2PM,2021.03,4.6,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
628,PTSA.SA01HB2PM,2022.03,4.8,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
193,PTSA.SA01HB2PS,2016.09,,C,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
72,PTSA.SA01HB2PS,2017.09,4.9,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
165,PTSA.SA01HB2PS,2018.09,3.7,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
421,PTSA.SA01HB2PS,2019.09,4.4,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
887,PTSA.SA01HB2PS,2020.09,4.4,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
621,PTSA.SA01HB2PS,2021.09,4.5,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
201,PTSA.SA01HB3ND,2016.12,,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Number of transfers
289,PTSA.SA01HB3ND,2017.12,51,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Number of transfers
699,PTSA.SA01HB3ND,2018.12,36,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Number of transfers
456,PTSA.SA01HB3ND,2019.12,9,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Number of transfers
799,PTSA.SA01HB3ND,2020.12,15,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Number of transfers
927,PTSA.SA01HB3ND,2021.12,15,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Number of transfers
449,PTSA.SA01HB3NJ,2017.06,,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Number of transfers
294,PTSA.SA01HB3NJ,2018.06,51,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Number of transfers
389,PTSA.SA01HB3NJ,2019.06,21,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Number of transfers
777,PTSA.SA01HB3NJ,2020.06,6,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Number of transfers
997,PTSA.SA01HB3NJ,2021.06,18,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Number of transfers
858,PTSA.SA01HB3NM,2017.03,,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Number of transfers
535,PTSA.SA01HB3NM,2018.03,51,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Number of transfers
963,PTSA.SA01HB3NM,2019.03,30,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Number of transfers
735,PTSA.SA01HB3NM,2020.03,6,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Number of transfers
68,PTSA.SA01HB3NM,2021.03,18,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Number of transfers
669,PTSA.SA01HB3NM,2022.03,12,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Number of transfers
714,PTSA.SA01HB3NS,2016.09,,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Number of transfers
94,PTSA.SA01HB3NS,2017.09,36,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Number of transfers
271,PTSA.SA01HB3NS,2018.09,45,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Number of transfers
697,PTSA.SA01HB3NS,2019.09,15,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Number of transfers
269,PTSA.SA01HB3NS,2020.09,9,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Number of transfers
691,PTSA.SA01HB3NS,2021.09,18,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Number of transfers
918,PTSA.SA01HB3PD,2016.12,,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
103,PTSA.SA01HB3PD,2017.12,0.9,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
187,PTSA.SA01HB3PD,2018.12,0.6,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
922,PTSA.SA01HB3PD,2019.12,0.2,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
935,PTSA.SA01HB3PD,2020.12,0.3,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
365,PTSA.SA01HB3PD,2021.12,0.2,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
82,PTSA.SA01HB3PJ,2017.06,,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
104,PTSA.SA01HB3PJ,2018.06,0.9,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
575,PTSA.SA01HB3PJ,2019.06,0.4,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
556,PTSA.SA01HB3PJ,2020.06,0.1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
552,PTSA.SA01HB3PJ,2021.06,0.3,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
190,PTSA.SA01HB3PM,2017.03,,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
884,PTSA.SA01HB3PM,2018.03,0.9,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
618,PTSA.SA01HB3PM,2019.03,0.5,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
673,PTSA.SA01HB3PM,2020.03,0.1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
924,PTSA.SA01HB3PM,2021.03,0.3,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
504,PTSA.SA01HB3PM,2022.03,0.2,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
320,PTSA.SA01HB3PS,2016.09,,C,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
626,PTSA.SA01HB3PS,2017.09,0.8,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
134,PTSA.SA01HB3PS,2018.09,0.8,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
757,PTSA.SA01HB3PS,2019.09,0.3,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
130,PTSA.SA01HB3PS,2020.09,0.2,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
684,PTSA.SA01HB3PS,2021.09,0.3,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
175,PTSA.SA01HB4ND,2016.12,,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Corporate only,Number of transfers
169,PTSA.SA01HB4ND,2017.12,426,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Corporate only,Number of transfers
905,PTSA.SA01HB4ND,2018.12,423,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Corporate only,Number of transfers
381,PTSA.SA01HB4ND,2019.12,453,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Corporate only,Number of transfers
